DateCirculation,Heure,LiaisonId,NombreBilletCircule
2025-11-01,0,100,1
2025-11-01,1,100,1
2025-11-01,2,100,1
2025-11-01,3,100,2
2025-11-01,4,100,0
2025-11-01,5,100,5
2025-11-01,6,100,4
2025-11-01,7,100,0
2025-11-01,8,100,1
2025-11-01,9,100,0
2025-11-01,10,100,2
2025-11-01,11,100,2
2025-11-01,12,100,2
2025-11-01,13,100,2
2025-11-01,14,100,0
2025-11-01,15,100,4
2025-11-01,16,100,2
2025-11-01,17,100,2
2025-11-01,18,100,0
2025-11-01,19,100,2
2025-11-01,20,100,1
2025-11-01,21,100,1
2025-11-01,22,100,0
2025-11-01,23,100,4
2025-11-01,0,101,0
2025-11-01,1,101,1
2025-11-01,2,101,3
2025-11-01,3,101,1
2025-11-01,4,101,2
2025-11-01,5,101,1
2025-11-01,6,101,1
2025-11-01,7,101,3
2025-11-01,8,101,6
2025-11-01,9,101,2
2025-11-01,10,101,1
2025-11-01,11,101,2
2025-11-01,12,101,3
2025-11-01,13,101,3
2025-11-01,14,101,1
2025-11-01,15,101,0
2025-11-01,16,101,3
2025-11-01,17,101,2
2025-11-01,18,101,1
2025-11-01,19,101,1
2025-11-01,20,101,3
2025-11-01,21,101,4
2025-11-01,22,101,1
2025-11-01,23,101,0
2025-11-01,0,102,3
2025-11-01,1,102,3
2025-11-01,2,102,4
2025-11-01,3,102,1
2025-11-01,4,102,3
2025-11-01,5,102,2
2025-11-01,6,102,3
2025-11-01,7,102,0
2025-11-01,8,102,1
2025-11-01,9,102,4
2025-11-01,10,102,1
2025-11-01,11,102,0
2025-11-01,12,102,2
2025-11-01,13,102,5
2025-11-01,14,102,3
2025-11-01,15,102,2
2025-11-01,16,102,1
2025-11-01,17,102,4
2025-11-01,18,102,1
2025-11-01,19,102,4
2025-11-01,20,102,0
2025-11-01,21,102,0
2025-11-01,22,102,1
2025-11-01,23,102,3
2025-11-01,0,103,3
2025-11-01,1,103,3
2025-11-01,2,103,2
2025-11-01,3,103,4
2025-11-01,4,103,1
2025-11-01,5,103,3
2025-11-01,6,103,3
2025-11-01,7,103,1
2025-11-01,8,103,2
2025-11-01,9,103,3
2025-11-01,10,103,1
2025-11-01,11,103,3
2025-11-01,12,103,1
2025-11-01,13,103,2
2025-11-01,14,103,3
2025-11-01,15,103,5
2025-11-01,16,103,0
2025-11-01,17,103,1
2025-11-01,18,103,5
2025-11-01,19,103,3
2025-11-01,20,103,4
2025-11-01,21,103,0
2025-11-01,22,103,4
2025-11-01,23,103,4
2025-11-01,0,10796,3
2025-11-01,1,10796,2
2025-11-01,2,10796,5
2025-11-01,3,10796,0
2025-11-01,4,10796,1
2025-11-01,5,10796,4
2025-11-01,6,10796,4
2025-11-01,7,10796,1
2025-11-01,8,10796,3
2025-11-01,9,10796,2
2025-11-01,10,10796,2
2025-11-01,11,10796,1
2025-11-01,12,10796,2
2025-11-01,13,10796,1
2025-11-01,14,10796,4
2025-11-01,15,10796,0
2025-11-01,16,10796,4
2025-11-01,17,10796,3
2025-11-01,18,10796,2
2025-11-01,19,10796,1
2025-11-01,20,10796,4
2025-11-01,21,10796,0
2025-11-01,22,10796,1
2025-11-01,23,10796,4
2025-11-01,0,10891,1
2025-11-01,1,10891,3
2025-11-01,2,10891,1
2025-11-01,3,10891,2
2025-11-01,4,10891,3
2025-11-01,5,10891,4
2025-11-01,6,10891,2
2025-11-01,7,10891,3
2025-11-01,8,10891,2
2025-11-01,9,10891,3
2025-11-01,10,10891,2
2025-11-01,11,10891,1
2025-11-01,12,10891,3
2025-11-01,13,10891,2
2025-11-01,14,10891,1
2025-11-01,15,10891,1
2025-11-01,16,10891,1
2025-11-01,17,10891,1
2025-11-01,18,10891,2
2025-11-01,19,10891,1
2025-11-01,20,10891,1
2025-11-01,21,10891,3
2025-11-01,22,10891,3
2025-11-01,23,10891,3
2025-11-01,0,11082,3
2025-11-01,1,11082,3
2025-11-01,2,11082,2
2025-11-01,3,11082,2
2025-11-01,4,11082,1
2025-11-01,5,11082,4
2025-11-01,6,11082,0
2025-11-01,7,11082,0
2025-11-01,8,11082,3
2025-11-01,9,11082,3
2025-11-01,10,11082,2
2025-11-01,11,11082,7
2025-11-01,12,11082,1
2025-11-01,13,11082,1
2025-11-01,14,11082,0
2025-11-01,15,11082,3
2025-11-01,16,11082,6
2025-11-01,17,11082,5
2025-11-01,18,11082,2
2025-11-01,19,11082,3
2025-11-01,20,11082,4
2025-11-01,21,11082,4
2025-11-01,22,11082,0
2025-11-01,23,11082,1
2025-11-01,0,12319,3
2025-11-01,1,12319,0
2025-11-01,2,12319,1
2025-11-01,3,12319,2
2025-11-01,4,12319,3
2025-11-01,5,12319,0
2025-11-01,6,12319,3
2025-11-01,7,12319,1
2025-11-01,8,12319,4
2025-11-01,9,12319,1
2025-11-01,10,12319,2
2025-11-01,11,12319,0
2025-11-01,12,12319,1
2025-11-01,13,12319,2
2025-11-01,14,12319,1
2025-11-01,15,12319,4
2025-11-01,16,12319,1
2025-11-01,17,12319,1
2025-11-01,18,12319,4
2025-11-01,19,12319,2
2025-11-01,20,12319,0
2025-11-01,21,12319,2
2025-11-01,22,12319,5
2025-11-01,23,12319,2
2025-11-01,0,12320,4
2025-11-01,1,12320,1
2025-11-01,2,12320,2
2025-11-01,3,12320,6
2025-11-01,4,12320,3
2025-11-01,5,12320,1
2025-11-01,6,12320,4
2025-11-01,7,12320,1
2025-11-01,8,12320,3
2025-11-01,9,12320,4
2025-11-01,10,12320,3
2025-11-01,11,12320,5
2025-11-01,12,12320,2
2025-11-01,13,12320,3
2025-11-01,14,12320,1
2025-11-01,15,12320,3
2025-11-01,16,12320,1
2025-11-01,17,12320,5
2025-11-01,18,12320,2
2025-11-01,19,12320,1
2025-11-01,20,12320,7
2025-11-01,21,12320,1
2025-11-01,22,12320,3
2025-11-01,23,12320,2
2025-11-01,0,12321,2
2025-11-01,1,12321,4
2025-11-01,2,12321,2
2025-11-01,3,12321,2
2025-11-01,4,12321,1
2025-11-01,5,12321,2
2025-11-01,6,12321,2
2025-11-01,7,12321,1
2025-11-01,8,12321,1
2025-11-01,9,12321,3
2025-11-01,10,12321,2
2025-11-01,11,12321,2
2025-11-01,12,12321,3
2025-11-01,13,12321,2
2025-11-01,14,12321,0
2025-11-01,15,12321,2
2025-11-01,16,12321,2
2025-11-01,17,12321,2
2025-11-01,18,12321,3
2025-11-01,19,12321,1
2025-11-01,20,12321,3
2025-11-01,21,12321,1
2025-11-01,22,12321,3
2025-11-01,23,12321,3
2025-11-01,0,12325,2
2025-11-01,1,12325,2
2025-11-01,2,12325,2
2025-11-01,3,12325,1
2025-11-01,4,12325,4
2025-11-01,5,12325,4
2025-11-01,6,12325,3
2025-11-01,7,12325,3
2025-11-01,8,12325,6
2025-11-01,9,12325,3
2025-11-01,10,12325,6
2025-11-01,11,12325,2
2025-11-01,12,12325,2
2025-11-01,13,12325,3
2025-11-01,14,12325,3
2025-11-01,15,12325,2
2025-11-01,16,12325,9
2025-11-01,17,12325,5
2025-11-01,18,12325,4
2025-11-01,19,12325,2
2025-11-01,20,12325,5
2025-11-01,21,12325,0
2025-11-01,22,12325,4
2025-11-01,23,12325,6
2025-11-01,0,12330,3
2025-11-01,1,12330,4
2025-11-01,2,12330,0
2025-11-01,3,12330,1
2025-11-01,4,12330,1
2025-11-01,5,12330,4
2025-11-01,6,12330,0
2025-11-01,7,12330,2
2025-11-01,8,12330,3
2025-11-01,9,12330,1
2025-11-01,10,12330,4
2025-11-01,11,12330,2
2025-11-01,12,12330,5
2025-11-01,13,12330,2
2025-11-01,14,12330,6
2025-11-01,15,12330,4
2025-11-01,16,12330,2
2025-11-01,17,12330,2
2025-11-01,18,12330,3
2025-11-01,19,12330,2
2025-11-01,20,12330,2
2025-11-01,21,12330,3
2025-11-01,22,12330,2
2025-11-01,23,12330,1
2025-11-01,0,12340,1
2025-11-01,1,12340,1
2025-11-01,2,12340,1
2025-11-01,3,12340,0
2025-11-01,4,12340,3
2025-11-01,5,12340,2
2025-11-01,6,12340,2
2025-11-01,7,12340,3
2025-11-01,8,12340,2
2025-11-01,9,12340,3
2025-11-01,10,12340,1
2025-11-01,11,12340,1
2025-11-01,12,12340,3
2025-11-01,13,12340,3
2025-11-01,14,12340,3
2025-11-01,15,12340,0
2025-11-01,16,12340,2
2025-11-01,17,12340,0
2025-11-01,18,12340,3
2025-11-01,19,12340,1
2025-11-01,20,12340,1
2025-11-01,21,12340,1
2025-11-01,22,12340,2
2025-11-01,23,12340,0
2025-11-01,0,12342,2
2025-11-01,1,12342,5
2025-11-01,2,12342,1
2025-11-01,3,12342,2
2025-11-01,4,12342,3
2025-11-01,5,12342,1
2025-11-01,6,12342,4
2025-11-01,7,12342,2
2025-11-01,8,12342,2
2025-11-01,9,12342,0
2025-11-01,10,12342,4
2025-11-01,11,12342,0
2025-11-01,12,12342,3
2025-11-01,13,12342,2
2025-11-01,14,12342,1
2025-11-01,15,12342,4
2025-11-01,16,12342,2
2025-11-01,17,12342,2
2025-11-01,18,12342,2
2025-11-01,19,12342,0
2025-11-01,20,12342,2
2025-11-01,21,12342,2
2025-11-01,22,12342,1
2025-11-01,23,12342,3
2025-11-01,0,12344,2
2025-11-01,1,12344,2
2025-11-01,2,12344,3
2025-11-01,3,12344,4
2025-11-01,4,12344,1
2025-11-01,5,12344,0
2025-11-01,6,12344,4
2025-11-01,7,12344,2
2025-11-01,8,12344,6
2025-11-01,9,12344,2
2025-11-01,10,12344,2
2025-11-01,11,12344,4
2025-11-01,12,12344,0
2025-11-01,13,12344,3
2025-11-01,14,12344,0
2025-11-01,15,12344,1
2025-11-01,16,12344,1
2025-11-01,17,12344,5
2025-11-01,18,12344,2
2025-11-01,19,12344,1
2025-11-01,20,12344,2
2025-11-01,21,12344,3
2025-11-01,22,12344,2
2025-11-01,23,12344,2
2025-11-01,0,12346,3
2025-11-01,1,12346,2
2025-11-01,2,12346,2
2025-11-01,3,12346,1
2025-11-01,4,12346,8
2025-11-01,5,12346,3
2025-11-01,6,12346,2
2025-11-01,7,12346,3
2025-11-01,8,12346,5
2025-11-01,9,12346,0
2025-11-01,10,12346,1
2025-11-01,11,12346,3
2025-11-01,12,12346,2
2025-11-01,13,12346,4
2025-11-01,14,12346,4
2025-11-01,15,12346,2
2025-11-01,16,12346,2
2025-11-01,17,12346,2
2025-11-01,18,12346,1
2025-11-01,19,12346,0
2025-11-01,20,12346,2
2025-11-01,21,12346,6
2025-11-01,22,12346,3
2025-11-01,23,12346,3
2025-11-01,0,12401,1
2025-11-01,1,12401,0
2025-11-01,2,12401,0
2025-11-01,3,12401,2
2025-11-01,4,12401,2
2025-11-01,5,12401,0
2025-11-01,6,12401,2
2025-11-01,7,12401,2
2025-11-01,8,12401,2
2025-11-01,9,12401,1
2025-11-01,10,12401,3
2025-11-01,11,12401,2
2025-11-01,12,12401,3
2025-11-01,13,12401,1
2025-11-01,14,12401,1
2025-11-01,15,12401,3
2025-11-01,16,12401,1
2025-11-01,17,12401,0
2025-11-01,18,12401,0
2025-11-01,19,12401,1
2025-11-01,20,12401,1
2025-11-01,21,12401,2
2025-11-01,22,12401,2
2025-11-01,23,12401,3
2025-11-01,0,12402,1
2025-11-01,1,12402,2
2025-11-01,2,12402,1
2025-11-01,3,12402,4
2025-11-01,4,12402,1
2025-11-01,5,12402,0
2025-11-01,6,12402,0
2025-11-01,7,12402,2
2025-11-01,8,12402,1
2025-11-01,9,12402,3
2025-11-01,10,12402,3
2025-11-01,11,12402,4
2025-11-01,12,12402,0
2025-11-01,13,12402,2
2025-11-01,14,12402,3
2025-11-01,15,12402,3
2025-11-01,16,12402,1
2025-11-01,17,12402,4
2025-11-01,18,12402,1
2025-11-01,19,12402,1
2025-11-01,20,12402,0
2025-11-01,21,12402,5
2025-11-01,22,12402,3
2025-11-01,23,12402,1
2025-11-01,0,12403,1
2025-11-01,1,12403,3
2025-11-01,2,12403,2
2025-11-01,3,12403,2
2025-11-01,4,12403,3
2025-11-01,5,12403,0
2025-11-01,6,12403,2
2025-11-01,7,12403,3
2025-11-01,8,12403,0
2025-11-01,9,12403,4
2025-11-01,10,12403,3
2025-11-01,11,12403,5
2025-11-01,12,12403,2
2025-11-01,13,12403,4
2025-11-01,14,12403,3
2025-11-01,15,12403,1
2025-11-01,16,12403,0
2025-11-01,17,12403,4
2025-11-01,18,12403,0
2025-11-01,19,12403,2
2025-11-01,20,12403,1
2025-11-01,21,12403,2
2025-11-01,22,12403,2
2025-11-01,23,12403,2
2025-11-01,0,12407,2
2025-11-01,1,12407,1
2025-11-01,2,12407,0
2025-11-01,3,12407,3
2025-11-01,4,12407,6
2025-11-01,5,12407,0
2025-11-01,6,12407,7
2025-11-01,7,12407,2
2025-11-01,8,12407,1
2025-11-01,9,12407,1
2025-11-01,10,12407,2
